athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,plus_minus,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date,athlete_headshot_href
Shalonda Enis,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,162,S. Enis,Not Available,NA,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
Summer Erb,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,163,S. Erb,Not Available,NA,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
Sheila Lambert,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,251,S. Lambert,Not Available,NA,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
Tamika Catchings,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,24,125,T. Catchings,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Niele Ivey,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,220,N. Ivey,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Nadine Malcolm,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,271,N. Malcolm,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Nikki McCray-Penson,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,282,N. McCray-Penson,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Olympia Scott,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,359,O. Scott,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Monica Maxwell,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,277,M. Maxwell,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Jackie Moore,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,297,J. Moore,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Bridget Pettis,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,323,B. Pettis,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Kelly Schumacher,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,358,K. Schumacher,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Alicia Thompson,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,393,A. Thompson,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Coquese Washington,Fever,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,420,C. Washington,Not Available,NA,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,220722005,2002,2,2002-07-23,
Penny Taylor,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,13,388,P. Taylor,Forward,F,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Ann Wauters,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,423,A. Wauters,Center,C,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Merlakia Jones,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,239,M. Jones,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
