athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,plus_minus,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date
Odyssey Sims,Wings,36,10-21,1-6,5-6,0,3,3,2,1,0,3,1,+1,26,TRUE,FALSE,FALSE,TRUE,1,2529047,O. Sims,https://a.espncdn.com/i/headshots/wnba/players/full/2529047.png,Guard,G,Wings,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,3,DAL,11213e,400864347,2016,2,2016-09-03
Glory Johnson,Wings,30,5-10,0-0,6-8,5,10,15,1,0,0,2,4,-3,16,FALSE,FALSE,FALSE,TRUE,0,1053,G. Johnson,,Forward,F,Wings,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,3,DAL,11213e,400864347,2016,2,2016-09-03
Jordan Hooper,Wings,2,0-2,0-2,0-0,0,0,0,0,0,0,0,1,+2,0,FALSE,FALSE,FALSE,TRUE,35,2529078,J. Hooper,,Forward,F,Wings,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,3,DAL,11213e,400864347,2016,2,2016-09-03
Aerial Powers,Wings,23,5-11,1-3,3-3,2,3,5,2,2,0,0,2,-4,14,FALSE,FALSE,FALSE,TRUE,3,2999035,A. Powers,https://a.espncdn.com/i/headshots/wnba/players/full/2999035.png,Forward,F,Wings,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,3,DAL,11213e,400864347,2016,2,2016-09-03
Erin Phillips,Wings,9,1-3,1-2,0-0,0,1,1,1,0,0,0,0,+3,3,FALSE,FALSE,FALSE,FALSE,31,678,E. Phillips,,Guard,G,Wings,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,3,DAL,11213e,400864347,2016,2,2016-09-03
Tiffany Bias,Wings,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-5,0,FALSE,FALSE,FALSE,FALSE,3,2529089,T. Bias,,Guard,G,Wings,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,3,DAL,11213e,400864347,2016,2,2016-09-03
Emma Meesseman,Mystics,30,4-9,1-4,0-0,2,3,5,0,3,2,2,1,-7,9,TRUE,FALSE,FALSE,TRUE,33,3027368,E. Meesseman,https://a.espncdn.com/i/headshots/wnba/players/full/3027368.png,Forward,F,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Stefanie Dolson,Mystics,15,2-3,1-1,2-2,2,3,5,0,0,1,1,3,-7,7,TRUE,FALSE,FALSE,FALSE,31,2529183,S. Dolson,https://a.espncdn.com/i/headshots/wnba/players/full/2529183.png,Center,C,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Tierra Ruffin-Pratt,Mystics,15,0-1,0-0,0-0,1,1,2,1,0,0,2,5,-5,0,TRUE,FALSE,FALSE,FALSE,10,2490528,T. Ruffin-Pratt,,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Tayler Hill,Mystics,29,5-22,0-6,5-6,0,1,1,2,1,0,1,2,-9,15,TRUE,FALSE,FALSE,TRUE,2,2490769,T. Hill,,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Natasha Cloud,Mystics,33,3-10,0-3,1-2,1,5,6,7,1,1,2,3,-13,7,TRUE,FALSE,FALSE,TRUE,9,2529137,N. Cloud,https://a.espncdn.com/i/headshots/wnba/players/full/2529137.png,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
LaToya Sanders,Mystics,19,3-4,0-0,4-6,0,3,3,1,0,1,0,5,+3,10,FALSE,FALSE,FALSE,TRUE,,798,L. Sanders,,Forward,F,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Ally Malott,Mystics,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,+1,0,FALSE,FALSE,FALSE,FALSE,22,2590050,A. Malott,,Forward,F,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Kia Vaughn,Mystics,24,3-4,0-0,0-0,3,2,5,2,0,0,1,0,+3,6,FALSE,FALSE,FALSE,FALSE,7,838,K. Vaughn,https://a.espncdn.com/i/headshots/wnba/players/full/838.png,Center,C,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Leilani Mitchell,Mystics,22,5-11,1-6,2-4,1,3,4,1,0,0,0,0,+14,13,FALSE,FALSE,FALSE,TRUE,5,796,L. Mitchell,https://a.espncdn.com/i/headshots/wnba/players/full/796.png,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Kahleah Copper,Mystics,12,1-2,0-1,0-0,0,0,0,1,0,0,0,2,-5,2,FALSE,FALSE,FALSE,FALSE,2,2998938,K. Copper,https://a.espncdn.com/i/headshots/wnba/players/full/2998938.png,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864345,2016,2,2016-09-03
Rebekkah Brunson,Lynx,22,1-6,0-0,2-2,1,6,7,1,0,0,0,3,+7,4,TRUE,FALSE,FALSE,TRUE,32,571,R. Brunson,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Maya Moore,Lynx,33,7-17,1-3,12-13,2,4,6,1,2,0,1,2,+3,27,TRUE,FALSE,FALSE,TRUE,23,956,M. Moore,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Sylvia Fowles,Lynx,37,5-10,0-0,5-5,6,11,17,2,2,2,1,3,+9,15,TRUE,FALSE,FALSE,FALSE,34,766,S. Fowles,https://a.espncdn.com/i/headshots/wnba/players/full/766.png,Center,C,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Lindsay Whalen,Lynx,28,4-11,0-0,1-2,0,2,2,4,0,0,1,2,+3,9,TRUE,FALSE,FALSE,FALSE,13,545,L. Whalen,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Seimone Augustus,Lynx,27,2-6,0-0,0-0,0,3,3,1,0,2,2,2,+13,4,TRUE,FALSE,FALSE,FALSE,33,695,S. Augustus,https://a.espncdn.com/i/headshots/wnba/players/full/695.png,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Keisha Hampton,Lynx,3,0-0,0-0,2-3,0,0,0,0,0,0,0,0,-2,2,FALSE,FALSE,FALSE,FALSE,24,2325312,K. Hampton,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Natasha Howard,Lynx,6,1-2,0-0,0-0,1,0,1,0,0,0,1,3,-6,2,FALSE,FALSE,FALSE,TRUE,,2529130,N. Howard,https://a.espncdn.com/i/headshots/wnba/players/full/2529130.png,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Janel McCarville,Lynx,15,2-3,0-0,2-2,0,2,2,4,0,0,0,2,0,6,FALSE,FALSE,FALSE,FALSE,4,642,J. McCarville,,Center,C,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Jia Perkins,Lynx,19,2-6,0-1,0-0,1,2,3,0,0,0,1,2,-6,4,FALSE,FALSE,FALSE,TRUE,7,537,J. Perkins,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Renee Montgomery,Lynx,10,0-2,0-0,2-2,0,0,0,0,0,0,3,0,+4,2,FALSE,FALSE,FALSE,TRUE,21,865,R. Montgomery,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864345,2016,2,2016-09-03
Penny Taylor,Mercury,28,3-7,1-5,7-7,1,2,3,3,1,1,4,2,+4,14,TRUE,FALSE,FALSE,FALSE,13,388,P. Taylor,,Forward,F,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Candice Dupree,Mercury,29,2-8,0-0,0-0,3,7,10,2,1,0,1,2,-2,4,TRUE,FALSE,FALSE,FALSE,24,689,C. Dupree,https://a.espncdn.com/i/headshots/wnba/players/full/689.png,Forward,F,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
DeWanna Bonner,Mercury,33,5-9,2-5,2-2,1,1,2,1,0,1,0,1,-8,14,TRUE,FALSE,FALSE,FALSE,24,869,D. Bonner,https://a.espncdn.com/i/headshots/wnba/players/full/869.png,Forward,F,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Brittney Griner,Mercury,33,10-15,0-0,9-11,0,9,9,0,0,2,3,3,-2,29,TRUE,FALSE,FALSE,FALSE,42,2490553,B. Griner,https://a.espncdn.com/i/headshots/wnba/players/full/2490553.png,Center,C,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Diana Taurasi,Mercury,25,2-8,1-5,2-2,0,1,1,3,2,0,8,4,-1,7,TRUE,FALSE,FALSE,FALSE,3,585,D. Taurasi,https://a.espncdn.com/i/headshots/wnba/players/full/585.png,Guard,G,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Mistie McCray Bass,Mercury,9,1-3,0-0,0-0,1,1,2,1,0,0,1,3,-9,2,FALSE,FALSE,FALSE,FALSE,21,660,M. Bass,,Forward,F,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Sonja Petrovic,Mercury,8,1-2,0-0,0-0,0,3,3,0,1,0,1,1,-15,2,FALSE,FALSE,FALSE,TRUE,5,1106,S. Petrovic,,Forward,F,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Isabelle Harrison,Mercury,2,0-0,0-0,0-0,0,1,1,0,0,0,1,0,-2,0,FALSE,FALSE,FALSE,TRUE,20,2566453,I. Harrison,https://a.espncdn.com/i/headshots/wnba/players/full/2566453.png,Forward,F,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Kelsey Bone,Mercury,7,1-2,0-0,0-0,1,1,2,0,0,0,1,1,-11,2,FALSE,FALSE,FALSE,TRUE,3,2491346,K. Bone,,Center,C,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Lindsey Harding,Mercury,15,0-1,0-1,0-0,0,1,1,3,1,0,0,1,-11,0,FALSE,FALSE,FALSE,FALSE,10,2069374,L. Harding,,Guard,G,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Alex Harden,Mercury,2,0-0,0-0,0-0,0,0,0,0,1,0,1,0,-2,0,FALSE,FALSE,FALSE,TRUE,,2569244,A. Harden,,Guard,G,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Marta Xargay,Mercury,9,0-0,0-0,0-0,1,0,1,1,1,1,2,5,-6,0,FALSE,FALSE,FALSE,TRUE,21,3888044,M. Xargay,,Guard,G,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864344,2016,2,2016-09-02
Camille Little,Sun,30,2-5,0-1,0-0,1,6,7,1,3,0,2,0,+19,4,TRUE,FALSE,FALSE,FALSE,20,732,C. Little,,Forward,F,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Alyssa Thomas,Sun,32,4-8,0-0,2-6,3,2,5,3,2,0,3,2,+20,10,TRUE,FALSE,FALSE,FALSE,25,2529140,A. Thomas,https://a.espncdn.com/i/headshots/wnba/players/full/2529140.png,Forward,F,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Chiney Ogwumike,Sun,28,9-14,0-0,4-6,4,6,10,0,0,1,1,3,+3,22,TRUE,FALSE,FALSE,FALSE,13,2529950,C. Ogwumike,https://a.espncdn.com/i/headshots/wnba/players/full/2529950.png,Forward,F,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Jasmine Thomas,Sun,34,7-19,1-5,3-3,2,1,3,6,2,0,1,2,+1,18,TRUE,FALSE,FALSE,TRUE,5,1008,J. Thomas,https://a.espncdn.com/i/headshots/wnba/players/full/1008.png,Guard,G,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Alex Bentley,Sun,28,6-14,2-7,2-3,0,0,0,1,5,0,0,3,+9,16,TRUE,FALSE,FALSE,FALSE,20,2490773,A. Bentley,,Guard,G,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Shekinna Stricklen,Sun,6,0-1,0-1,0-0,0,0,0,0,0,0,0,0,-3,0,FALSE,FALSE,FALSE,TRUE,40,1110,S. Stricklen,https://a.espncdn.com/i/headshots/wnba/players/full/1110.png,Forward,F,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Kelly Faris,Sun,7,1-2,0-1,0-0,1,0,1,0,0,0,1,1,-3,2,FALSE,FALSE,FALSE,TRUE,22,2491192,K. Faris,,Forward,F,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Asia Taylor,Sun,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,31,2491203,A. Taylor,https://a.espncdn.com/i/headshots/wnba/players/full/2491203.png,Forward,F,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Jonquel Jones,Sun,21,3-7,1-2,0-0,2,1,3,1,0,0,0,6,+4,7,FALSE,FALSE,FALSE,FALSE,,2999101,J. Jones,https://a.espncdn.com/i/headshots/wnba/players/full/2999101.png,Forward,F,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Courtney Williams,Sun,15,3-6,0-0,2-3,1,3,4,1,1,0,1,2,+15,8,FALSE,FALSE,FALSE,TRUE,,2987891,C. Williams,https://a.espncdn.com/i/headshots/wnba/players/full/2987891.png,Guard,G,Sun,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,18,CONN,de6b36,400864344,2016,2,2016-09-02
Essence Carson,Sparks,17,1-7,0-2,0-0,0,0,0,1,1,0,1,0,-3,2,TRUE,FALSE,FALSE,FALSE,17,802,E. Carson,,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Candace Parker,Sparks,36,6-12,3-5,1-3,2,5,7,6,2,3,4,1,+9,16,TRUE,FALSE,FALSE,TRUE,3,812,C. Parker,https://a.espncdn.com/i/headshots/wnba/players/full/812.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Nneka Ogwumike,Sparks,34,3-8,1-1,6-6,1,8,9,3,2,0,1,1,+13,13,TRUE,FALSE,FALSE,TRUE,30,1068,N. Ogwumike,https://a.espncdn.com/i/headshots/wnba/players/full/1068.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Alana Beard,Sparks,32,2-5,0-0,0-0,3,6,9,2,3,2,2,2,+10,4,TRUE,FALSE,FALSE,FALSE,0,581,A. Beard,,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Kristi Toliver,Sparks,36,6-10,3-5,6-7,0,2,2,6,2,0,4,2,+5,21,TRUE,FALSE,FALSE,TRUE,20,856,K. Toliver,https://a.espncdn.com/i/headshots/wnba/players/full/856.png,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Jantel Lavender,Sparks,18,6-11,0-0,0-0,1,4,5,2,0,0,0,2,+6,12,FALSE,FALSE,FALSE,TRUE,14,1013,J. Lavender,https://a.espncdn.com/i/headshots/wnba/players/full/1013.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Evgeniia Belyakova,Sparks,15,0-2,0-2,0-0,0,1,1,0,0,0,0,0,-8,0,FALSE,FALSE,FALSE,FALSE,10,2969569,E. Belyakova,,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Jelena Dubljevic,Sparks,5,1-1,0-0,0-0,0,1,1,0,0,0,0,1,+3,2,FALSE,FALSE,FALSE,FALSE,28,4011778,J. Dubljevic,,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Chelsea Gray,Sparks,8,0-1,0-0,0-0,0,0,0,0,0,0,2,1,+10,0,FALSE,FALSE,FALSE,TRUE,12,2529122,C. Gray,https://a.espncdn.com/i/headshots/wnba/players/full/2529122.png,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864343,2016,2,2016-09-02
Monique Currie,Stars,29,1-8,0-1,4-4,0,4,4,3,1,1,1,2,-10,6,TRUE,FALSE,FALSE,TRUE,25,651,M. Currie,,Forward,F,Stars,,17,SA,000000,400864343,2016,2,2016-09-02
Jayne Appel-Marinelli,Stars,30,6-12,0-1,0-0,5,4,9,3,1,3,3,5,-4,12,TRUE,FALSE,FALSE,TRUE,32,954,J. Appel-Marinelli,,Center,C,Stars,,17,SA,000000,400864343,2016,2,2016-09-02
Astou Ndour-Fall,Stars,29,4-10,2-4,1-2,1,5,6,0,1,1,0,3,-8,11,TRUE,FALSE,FALSE,TRUE,,3099025,A. Ndour-Fall,https://a.espncdn.com/i/headshots/wnba/players/full/3099025.png,Center,C,Stars,,17,SA,000000,400864343,2016,2,2016-09-02
Jazmon Gwathmey,Stars,37,4-8,1-3,0-0,0,5,5,1,0,1,1,4,-10,9,TRUE,FALSE,FALSE,TRUE,1,2568417,J. Gwathmey,,Guard,G,Stars,,17,SA,000000,400864343,2016,2,2016-09-02
Moriah Jefferson,Stars,28,3-11,0-3,4-4,0,0,0,4,1,0,3,3,-5,10,TRUE,FALSE,FALSE,TRUE,,2998927,M. Jefferson,https://a.espncdn.com/i/headshots/wnba/players/full/2998927.png,Guard,G,Stars,,17,SA,000000,400864343,2016,2,2016-09-02
Vicki Baugh,Stars,15,3-4,0-0,0-0,0,3,3,0,1,0,0,2,-6,6,FALSE,FALSE,FALSE,FALSE,22,1052,V. Baugh,,Forward,F,Stars,,17,SA,000000,400864343,2016,2,2016-09-02
Haley McCloskey Peters,Stars,16,1-6,0-3,0-0,1,0,1,0,0,0,2,1,+3,2,FALSE,FALSE,FALSE,FALSE,17,2529125,H. Peters,,Forward,F,Stars,,17,SA,000000,400864343,2016,2,2016-09-02
Sydney Colson,Stars,16,2-4,1-1,0-0,1,1,2,4,1,0,2,2,-5,5,FALSE,FALSE,FALSE,FALSE,51,1004,S. Colson,https://a.espncdn.com/i/headshots/wnba/players/full/1004.png,Guard,G,Stars,,17,SA,000000,400864343,2016,2,2016-09-02
Tina Charles,Liberty,36,7-19,0-1,8-10,0,11,11,6,1,0,0,0,-12,22,TRUE,FALSE,FALSE,FALSE,31,918,T. Charles,https://a.espncdn.com/i/headshots/wnba/players/full/918.png,Center,C,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Carolyn Swords,Liberty,21,3-4,0-0,1-5,0,1,1,0,0,0,0,2,-25,7,TRUE,FALSE,FALSE,TRUE,4,982,C. Swords,,Center,C,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Sugar Rodgers,Liberty,27,2-6,1-2,2-2,0,2,2,1,0,0,2,5,-26,7,TRUE,FALSE,FALSE,TRUE,14,2491197,S. Rodgers,,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Brittany Boyd-Jones,Liberty,27,2-11,0-3,6-7,3,5,8,6,1,0,3,4,-17,10,TRUE,FALSE,FALSE,TRUE,83,2566210,B. Boyd-Jones,,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Rebecca Allen,Liberty,13,3-8,1-1,0-0,0,0,0,1,0,2,1,2,-11,7,TRUE,FALSE,FALSE,FALSE,,3102133,R. Allen,https://a.espncdn.com/i/headshots/wnba/players/full/3102133.png,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Swin Cash,Liberty,24,1-5,0-0,0-0,4,2,6,1,1,1,3,3,-10,2,FALSE,FALSE,FALSE,TRUE,32,122,S. Cash,,Forward,F,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Amanda Zahui B.,Liberty,21,2-5,0-1,4-5,2,3,5,1,0,2,0,0,-4,8,FALSE,FALSE,FALSE,TRUE,,3007473,A. Zahui B.,https://a.espncdn.com/i/headshots/wnba/players/full/3007473.png,Center,C,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Shavonte Zellous,Liberty,16,3-6,1-2,0-0,1,1,2,2,2,0,2,2,+2,7,FALSE,FALSE,FALSE,FALSE,21,851,S. Zellous,https://a.espncdn.com/i/headshots/wnba/players/full/851.png,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Epiphanny Prince,Liberty,15,2-4,1-1,2-2,0,2,2,0,1,0,1,3,-2,7,FALSE,FALSE,FALSE,FALSE,11,882,E. Prince,https://a.espncdn.com/i/headshots/wnba/players/full/882.png,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864342,2016,2,2016-09-01
Tamika Catchings,Fever,22,3-8,2-3,6-6,2,7,9,4,2,0,1,1,+25,14,TRUE,FALSE,FALSE,FALSE,24,125,T. Catchings,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Erlana Larkins,Fever,18,2-2,0-0,1-1,0,6,6,4,0,0,0,1,+28,5,TRUE,FALSE,FALSE,FALSE,2,803,E. Larkins,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Marissa Coleman,Fever,28,6-11,4-7,3-4,0,6,6,2,1,1,2,2,+26,19,TRUE,FALSE,FALSE,FALSE,0,835,M. Coleman,,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Briann January,Fever,25,3-7,2-4,3-3,0,2,2,3,1,0,3,1,+18,11,TRUE,FALSE,FALSE,FALSE,20,860,B. January,https://a.espncdn.com/i/headshots/wnba/players/full/860.png,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Erica Wheeler,Fever,28,3-10,1-4,0-0,0,3,3,4,1,0,2,1,+14,7,TRUE,FALSE,FALSE,TRUE,17,2491214,E. Wheeler,https://a.espncdn.com/i/headshots/wnba/players/full/2491214.png,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Lynetta Kizer,Fever,14,3-10,0-0,0-0,0,3,3,1,1,1,0,2,-5,6,FALSE,FALSE,FALSE,FALSE,12,1051,L. Kizer,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Devereaux Peters,Fever,16,2-2,0-0,1-2,1,3,4,1,0,0,2,5,-3,5,FALSE,FALSE,FALSE,TRUE,14,1101,D. Peters,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Natalie Achonwa,Fever,9,1-3,0-0,0-0,1,2,3,1,0,0,0,5,-3,2,FALSE,FALSE,FALSE,TRUE,11,2529203,N. Achonwa,https://a.espncdn.com/i/headshots/wnba/players/full/2529203.png,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Jeanette Pohlen-Mavunga,Fever,3,2-2,2-2,0-0,0,0,0,0,0,0,0,0,+4,6,FALSE,FALSE,FALSE,TRUE,32,983,J. Pohlen-Mavunga,,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Shenise Johnson,Fever,24,6-10,3-5,6-6,0,2,2,3,1,1,1,3,+6,21,FALSE,FALSE,FALSE,FALSE,42,1074,S. Johnson,,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Tiffany Mitchell,Fever,12,0-4,0-1,2-2,0,2,2,2,0,0,1,2,-5,2,FALSE,FALSE,FALSE,TRUE,,2984741,T. Mitchell,https://a.espncdn.com/i/headshots/wnba/players/full/2984741.png,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864342,2016,2,2016-09-01
Plenette Pierson,Wings,34,7-17,1-3,4-4,1,3,4,1,2,0,2,3,-11,19,TRUE,FALSE,FALSE,TRUE,22,491,P. Pierson,,Forward,F,Wings,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,3,DAL,11213e,400864440,2016,2,2016-09-01
