game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,active,athlete_jersey,athlete_short_name,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score,athlete_headshot_href,team_logo
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,358,Kelly Schumacher,3,Shock,Detroit,Shock,12,1,5,0,1,0,0,3,2,5,1,0,0,0,2,-1,2,FALSE,FALSE,FALSE,TRUE,,K. Schumacher,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,740,Ashley Shields,3,Shock,Detroit,Shock,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,FALSE,FALSE,FALSE,TRUE,,A. Shields,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,832,Olayinka Sanni,3,Shock,Detroit,Shock,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,FALSE,FALSE,FALSE,TRUE,,O. Sanni,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281003017,2008,3,2008-10-03,2008-10-03T23:30:00Z,286,Taj McWilliams-Franklin,3,Shock,Detroit,Shock,36,4,10,0,0,1,2,1,6,7,3,0,1,6,3,-1,9,TRUE,FALSE,FALSE,TRUE,,T. McWilliams-Franklin,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,away,TRUE,69,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,61,,
281003017,2008,3,2008-10-03,2008-10-03T23:30:00Z,640,Kara Braxton,3,Shock,Detroit,Shock,22,6,7,0,0,0,1,0,4,4,1,1,1,0,3,-1,12,TRUE,FALSE,FALSE,TRUE,45,K. Braxton,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,away,TRUE,69,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,61,,
281003017,2008,3,2008-10-03,2008-10-03T23:30:00Z,40,Katie Smith,3,Shock,Detroit,Shock,40,9,16,2,4,2,5,1,4,5,6,0,0,1,0,-1,22,TRUE,FALSE,FALSE,TRUE,30,K. Smith,Guard,G,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,away,TRUE,69,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,61,,
281003017,2008,3,2008-10-03,2008-10-03T23:30:00Z,312,Deanna  Nolan,3,Shock,Detroit,Shock,34,3,8,0,0,6,7,0,7,7,5,4,1,5,3,-1,12,TRUE,FALSE,FALSE,TRUE,,D. Nolan,Guard,G,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,away,TRUE,69,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,61,,
281003017,2008,3,2008-10-03,2008-10-03T23:30:00Z,328,Elaine Powell,3,Shock,Detroit,Shock,10,1,2,0,0,0,0,0,3,3,3,1,0,1,4,-1,2,TRUE,FALSE,FALSE,FALSE,,E. Powell,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,away,TRUE,69,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,61,,
281003017,2008,3,2008-10-03,2008-10-03T23:30:00Z,350,Sheri Sam,3,Shock,Detroit,Shock,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,FALSE,FALSE,FALSE,FALSE,,S. Sam,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,away,TRUE,69,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,61,,
281003017,2008,3,2008-10-03,2008-10-03T23:30:00Z,479,Cheryl Ford,3,Shock,Detroit,Shock,,,,,,,,,,,,,,,,--,,FALSE,FALSE,FALSE,FALSE,32,C. Ford,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,away,TRUE,69,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,61,,
